id,name,aliases,entity_type,risk_category,risk_score,country,date_of_birth,passport_number,national_id,address,phone_number,email,designation,sanctions_list,list_date,status,notes,last_updated
WL_000001,MV Steven Wilson,,Vessel,Corruption,0.73,Iraq,,,,"865 Anderson Lock Apt. 536, West Garrett, WV 35740",203.713.2224x1413,,,UN,2023-03-06,Active,"Green cover line security. Nation father agreement teach produce prove out. Executive yes same various.
Stuff property part. Property family fear.",2024-10-04
WL_000002,"Ochoa, Martin and Wu",,Organization,Fraud,0.67,Iraq,,,,"409 Christine Place, New Anna, FL 12661",371.216.8613,,,FATF,2015-09-26,Under Review,Production describe increase alone order machine security. Follow present nothing test change. Page here force tree. Break for especially between out child little.,2024-09-06
WL_000003,Ford Ltd,"Lee, Allen and Liu",Organization,Sanctions Violation,0.78,North Korea,,,,,,murphyjoshua@example.net,,OFAC,2022-02-28,Under Review,Anyone might local history operation job book. Security positive pass suffer. However edge debate fight stage.,2024-09-14
WL_000004,"Li, Perez and Becker Council",,Organization,Drug Trafficking,0.69,Iran,,,,"04081 Christian Manor Apt. 721, East Christophertown, GA 89946",,hporter@example.net,,FATF,2022-01-04,Inactive,,2024-10-23
WL_000005,MV Evelyn Mcdonald,,Vessel,Fraud,0.73,Syria,,,,"949 Ramsey Terrace Apt. 246, Michaelton, WV 71811",001-753-401-5148,batessamuel@example.org,,SEBI,2018-07-27,Inactive,,2025-05-08
WL_000006,MV Jesse Moore,,Vessel,Organized Crime,0.77,Russia,,,,"330 Sarah Knoll, Port Heather, FM 37737",615.315.5587,greid@example.com,,FATF,2018-10-14,Inactive,Wind yes American cell reality candidate. Speech understand lose fast.,2025-02-25
WL_000007,MV James Perez,,Vessel,Terrorism Financing,0.9,Cuba,,,,,,,,OFAC,2024-09-04,Under Review,,2024-07-30
WL_000008,"Williams, Miles and Johnston 382",,Aircraft,Drug Trafficking,0.81,Pakistan,,,,"931 Nelson Station, North Douglas, MH 18813",,bridget36@example.org,,SEBI,2023-05-25,Under Review,,2025-02-01
WL_000009,MV Christian Choi,,Vessel,Tax Evasion,0.74,India,,,,,672.378.1377x6800,,,RBI,2019-07-16,Inactive,,2024-08-16
WL_000010,Rodney Perez,,Individual,Tax Evasion,0.61,Cuba,1971-04-03,,646-70-6716,,(979)748-3803,ugallegos@example.org,"Production assistant, television",RBI,2023-06-07,Inactive,,2024-11-01
WL_000011,El-Stephanie Rose,,Individual,Human Trafficking,0.9,Somalia,1979-02-09,218173129,,"5459 Christine Village Suite 882, Port Stephen, WA 42294",001-546-986-1544x3702,,Child psychotherapist,UN,2017-10-27,Active,,2024-11-04
WL_000012,Brown LLC Network,"Rice, Shepherd and Long",Organization,Terrorism Financing,0.7,Sudan,,,,,,,,RBI,2016-06-19,Active,,2025-03-11
WL_000013,Avila-Castillo 402,,Aircraft,Organized Crime,0.95,Iraq,,,,"32341 Johnson Plaza, Josephfurt, CA 90819",214.605.5734x90926,theresajohnson@example.net,,RBI,2024-09-14,Inactive,"Keep would themselves form least fall age. Itself I say table seek. Thus democratic play.
Wear chair act smile majority local or dog. Dark performance economy maybe.
Matter himself manage before.",2024-08-17
WL_000014,Morales-Wright 322,,Aircraft,Terrorism Financing,0.64,Iraq,,,,"01339 Victoria Courts Suite 955, Michaelton, MO 80883",,leepeter@example.com,,ED,2023-10-18,Inactive,,2025-05-20
WL_000015,"Daniels, Patton and Gray Alliance",,Organization,Fraud,0.97,Russia,,,,"84734 Patterson Pine Apt. 732, East Lori, PA 68211",,,,OFAC,2024-12-19,Active,"Technology police ask wife buy stage. Cut day air my today federal something. Foreign represent yourself seem week can writer.
Ground language citizen member. Audience of nation plan.",2025-06-02
WL_000016,"Jackson, Simmons and Welch",,Organization,Human Trafficking,0.77,Yemen,,,,"20565 Hamilton Bridge, New Meghan, ND 78959",297.746.4807x7537,lmoreno@example.com,,ED,2023-12-03,Active,,2025-06-04
WL_000017,MV Christopher Alvarez,,Vessel,Drug Trafficking,0.71,Libya,,,,"8736 Ashlee Forest, Jonesport, FL 52628",+1-637-228-7016x7002,,,RBI,2021-01-23,Inactive,"Film direction available any. Bed well exactly officer recent. Stand clearly computer business focus already.
Require work success wife word. Radio everything soldier best.",2024-11-20
WL_000018,Dawn Cisneros,Austin Moreno; Martin Clark,Individual,Money Laundering,0.83,Sudan,1996-05-18,,,,,,Biomedical engineer,FATF,2017-09-19,Inactive,,2025-01-10
WL_000019,Perry Inc,"Norman, Bowman and Young",Organization,Fraud,0.8,North Korea,,,,"Unit 1501 Box 9237, DPO AA 55524",,ckennedy@example.org,,FATF,2017-05-03,Active,Hard five lot teacher race last. Face daughter personal war center those. More minute development poor surface.,2024-08-27
WL_000020,Abdul-Emily Patterson,David Cantu; Charles Mcguire,Individual,Politically Exposed Person (PEP),0.92,Iran,1952-01-24,A56310223,,,,,,SEBI,2022-05-05,Under Review,,2024-09-01
WL_000021,MV Tony Gomez,,Vessel,Politically Exposed Person (PEP),0.61,India,,,,"USS Terry, FPO AE 35638",,timothy39@example.org,,RBI,2019-08-13,Active,,2024-12-13
WL_000022,Mendez Inc 659,,Aircraft,Corruption,0.86,Iran,,,,,916-673-6450x33694,,,SEBI,2017-11-16,Under Review,,2025-04-08
WL_000023,Gerald Miller,Robert Edwards; Matthew Valentine,Individual,Sanctions Violation,0.61,Lebanon,1984-02-10,,,"817 Joshua Route, West William, MP 48844",,harrisstephen@example.net,,SEBI,2023-05-26,Active,So lay floor guess kitchen. Yes allow risk on. Two cover record security seven.,2024-09-28
WL_000024,Warner LLC Group,,Organization,Politically Exposed Person (PEP),0.9,Pakistan,,,,,,,,SEBI,2017-05-21,Active,,2025-02-18
WL_000025,MV Jacqueline James,,Vessel,Sanctions Violation,0.82,Yemen,,,,,,,,SEBI,2017-09-07,Inactive,"Decide structure firm speech moment. Manager entire save operation structure.
From beautiful case. By painting make.",2024-08-22
WL_000026,"Valdez, Rios and Coleman 262",,Aircraft,Money Laundering,0.94,Lebanon,,,,"5542 Brown Corners, South Anthonyton, KY 95448",,,,SEBI,2019-05-19,Active,Character help though field particular teach continue. Tax tree or news begin better. Bill job billion opportunity along question represent. Education deep manager relationship read.,2025-03-15
WL_000027,Heath-Stanley 323,,Aircraft,Politically Exposed Person (PEP),0.87,Lebanon,,,,"38911 Gonzalez Falls, West Jeffery, NJ 80355",(598)585-7073,,,FATF,2023-11-09,Under Review,"Policy brother summer try. Set soldier owner before his far reveal a.
Go economy car despite great serve court. Rock yet entire that recent today expect.
Key against card.",2025-01-22
WL_000028,Warner-Robinson 114,,Aircraft,Drug Trafficking,0.86,Sudan,,,,"636 Nguyen Camp Apt. 207, Jennifermouth, DC 92488",001-332-548-4706x38672,,,RBI,2020-12-13,Inactive,,2024-11-14
WL_000029,Ashley Leon,Matthew Mcclure,Individual,Terrorism Financing,0.66,Russia,1983-01-30,J26988001,,"38063 Payne Stravenue Apt. 588, East Christinaborough, PA 23426",686.585.8390x909,,Agricultural consultant,EU,2022-06-07,Under Review,,2025-07-03
WL_000030,David Pacheco,Danielle Lee; Valerie Soto,Individual,Politically Exposed Person (PEP),0.85,Afghanistan,1986-10-17,003592931,,,001-838-975-6412,,"Geneticist, molecular",OFAC,2023-07-28,Inactive,,2025-04-25
WL_000031,MV Martin Turner,,Vessel,Drug Trafficking,0.97,China,,,,,541-807-1237,,,FATF,2020-04-11,Under Review,"Base tough say full enjoy participant this. Trade different seven forward according always receive.
Agency tonight color budget draw situation. Market election painting decide.",2025-02-15
WL_000032,"Powers, Armstrong and Wiggins",,Organization,Corruption,0.85,Iran,,,,,446.545.3344,,,SEBI,2021-01-09,Under Review,"Reason own growth. Small glass free travel field on.
This moment response able live effort city general. Energy million carry under huge. Technology each fine thousand.",2024-10-28
WL_000033,MV Michael Buck,,Vessel,Corruption,0.78,India,,,,,+1-808-290-1523x5329,,,EU,2016-10-14,Under Review,,2025-03-29
WL_000034,MV Sonia Walker,,Vessel,Sanctions Violation,0.64,Mali,,,,"43669 Maria Rue, Deanborough, FM 18190",,,,UN,2023-11-26,Active,"Situation arrive often attorney lead office type. Best beat oil. Tough all for.
Authority young follow concern oil. Approach subject evening whether. American discuss base phone easy whose night.",2025-03-19
WL_000035,Mohammed-Andrew King,Brianna Stout; David Rodriguez; Daniel Lopez,Individual,Money Laundering,0.87,Belarus,1983-04-21,,,"09148 Jaime Mills, Port Justin, MT 66985",,christianarroyo@example.net,,OFAC,2020-12-07,Inactive,"Spring middle meet develop likely message purpose. Everyone artist fast oil certain herself why.
Sing without leader would technology history. Season item woman floor chair. Quickly song news.",2024-09-06
WL_000036,Sean Thompson,,Individual,Money Laundering,0.64,Lebanon,1986-04-01,Q59750637,,"144 Anderson Vista, Caitlinburgh, NC 77879",834-950-5017x892,,Electronics engineer,UN,2018-09-24,Under Review,,2024-11-02
WL_000037,MV Angel Anderson,,Vessel,Organized Crime,0.95,North Korea,,,,"PSC 6574, Box 4413, APO AE 95793",,,,RBI,2019-07-17,Inactive,"Quickly we practice firm radio prove result. Site its series soldier west air early.
Window we TV fly half. Suffer high road either sell.",2024-09-13
WL_000038,"Morgan, Gross and Vang 246",,Aircraft,Money Laundering,0.88,North Korea,,,,"42175 Joseph Fall, Downsstad, OR 61914",902-949-7599x44154,justin86@example.com,,OFAC,2017-12-04,Inactive,,2024-11-14
WL_000039,Perkins-Smith Network,,Organization,Organized Crime,0.72,Afghanistan,,,,"7526 Michelle Parkway, Lake Hollyview, AR 56294",001-244-673-1468x31277,,,OFAC,2017-05-19,Under Review,"Onto give tree hotel wonder. Value condition carry write get prevent challenge.
Food unit view foot offer face rock. Better cause unit.",2024-12-19
WL_000040,MV Michael Martinez,,Vessel,Drug Trafficking,0.63,Iran,,,,"206 Sandoval Harbors Apt. 559, Samanthatown, GA 91922",+1-541-702-6430x5588,chart@example.net,,OFAC,2023-10-02,Under Review,,2025-01-15
